Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Transaction,Chrome 126.0.0.0,,,2024-07-25 07:48:30,2024-07-25 07:52:06,3m - 36.263s,FAILED
,,,,,,,
Test Cases/Transaction/T01 - Pick Product From Detail Product Page,Chrome 126.0.0.0,Verify that user can pick product or add item to cart from detail product page,,2024-07-25 07:48:30,2024-07-25 07:48:43,13.215s,PASSED
"callTestCase(findTestCase(""Login/L01 - Login Success""), [""username"":""standard_user"", ""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-25 07:48:30,2024-07-25 07:48:39,9.114s,PASSED
"click(findTestObject(""Transaction/Inventory-page/product_name"", [""product_name"":product_name]))",Chrome 126.0.0.0,,,2024-07-25 07:48:39,2024-07-25 07:48:40,0.644s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Inventory-item-page/label_product_name_detail_page""))",Chrome 126.0.0.0,,,2024-07-25 07:48:40,2024-07-25 07:48:41,0.541s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Inventory-item-page/button_Add to cart - item page""))",Chrome 126.0.0.0,,,2024-07-25 07:48:41,2024-07-25 07:48:41,0.452s,PASSED
"click(findTestObject(""Transaction/Inventory-item-page/button_Add to cart - item page""))",Chrome 126.0.0.0,,,2024-07-25 07:48:41,2024-07-25 07:48:42,0.472s,PASSED
"verifyElementVisible(findTestObject(""Transaction/General/label_shopping_cart_badge""))",Chrome 126.0.0.0,,,2024-07-25 07:48:42,2024-07-25 07:48:42,0.563s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-07-25 07:48:42,2024-07-25 07:48:43,1.032s,PASSED
,,,,,,,
Test Cases/Transaction/T02 - Pick Product From Homepage,Chrome 126.0.0.0,Verify that user can pick product or add item to cart from home page,,2024-07-25 07:48:43,2024-07-25 07:48:54,10.944s,PASSED
"callTestCase(findTestCase(""Login/L01 - Login Success""), [""username"":""standard_user"", ""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-25 07:48:44,2024-07-25 07:48:52,7.650s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Inventory-page/product_name"", [""product_name"":product_name]))",Chrome 126.0.0.0,,,2024-07-25 07:48:52,2024-07-25 07:48:52,0.401s,PASSED
"click(findTestObject(""Transaction/Inventory-page/button_Add to cart"", [""product_id"":product_id]))",Chrome 126.0.0.0,product id untuk mencari button add to cart yang bersangkutan dengan product yang ingin dipilih,,2024-07-25 07:48:52,2024-07-25 07:48:53,0.407s,PASSED
"verifyElementVisible(findTestObject(""Transaction/General/label_shopping_cart_badge""))",Chrome 126.0.0.0,,,2024-07-25 07:48:53,2024-07-25 07:48:53,0.472s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-07-25 07:48:53,2024-07-25 07:48:54,0.881s,PASSED
,,,,,,,
Test Cases/Transaction/T03 - Cart Page - Checkout,Chrome 126.0.0.0,Verify that user can open the shopping cart and than continue to checkout,,2024-07-25 07:48:54,2024-07-25 07:49:14,19.526s,PASSED
"callTestCase(findTestCase(""Transaction/T02 - Pick Product From Homepage""), [""product_name"":""Sauce Labs Bike Light"", ""product_id"":""sauce-labs-bike-light"", ""detail_product_page"":""0""], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-25 07:48:54,2024-07-25 07:49:08,13.542s,PASSED
"click(findTestObject(""Transaction/General/icon_shopping_cart""))",Chrome 126.0.0.0,,,2024-07-25 07:49:08,2024-07-25 07:49:10,2.127s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Cart/span_title - Your Cart""))",Chrome 126.0.0.0,,,2024-07-25 07:49:10,2024-07-25 07:49:11,0.598s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Cart/container_cart item""))",Chrome 126.0.0.0,,,2024-07-25 07:49:11,2024-07-25 07:49:11,0.432s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,2024-07-25 07:49:11,2024-07-25 07:49:12,0.717s,PASSED
"click(findTestObject(""Transaction/Cart/button_Checkout""))",Chrome 126.0.0.0,,,2024-07-25 07:49:12,2024-07-25 07:49:13,1.243s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Checkout - Information/span_title - Checkout Your Information""))",Chrome 126.0.0.0,,,2024-07-25 07:49:13,2024-07-25 07:49:14,0.538s,PASSED
,,,,,,,
Test Cases/Transaction/T04 - Cart Page - Remove Item,Chrome 126.0.0.0,Verify that user can remove item from cart,,2024-07-25 07:49:14,2024-07-25 07:49:31,17.592s,PASSED
"callTestCase(findTestCase(""Transaction/T02 - Pick Product From Homepage""), [""product_name"":""Sauce Labs Bike Light"", ""product_id"":""sauce-labs-bike-light"", ""detail_product_page"":""0""], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-25 07:49:14,2024-07-25 07:49:26,11.301s,PASSED
"click(findTestObject(""Transaction/General/icon_shopping_cart""))",Chrome 126.0.0.0,,,2024-07-25 07:49:26,2024-07-25 07:49:26,0.471s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Cart/span_title - Your Cart""))",Chrome 126.0.0.0,,,2024-07-25 07:49:26,2024-07-25 07:49:27,0.505s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Cart/container_cart item""))",Chrome 126.0.0.0,,,2024-07-25 07:49:27,2024-07-25 07:49:27,0.385s,PASSED
takeScreenshot(STOP_ON_FAILURE),Chrome 126.0.0.0,,,2024-07-25 07:49:27,2024-07-25 07:49:27,0.463s,PASSED
"click(findTestObject(""Transaction/Cart/button_Remove"", [""product_id"":product_id]))",Chrome 126.0.0.0,,,2024-07-25 07:49:27,2024-07-25 07:49:28,0.464s,PASSED
"verifyElementNotPresent(findTestObject(""Transaction/Cart/label_item_name"", [""product_name"":product_name]), 1)",Chrome 126.0.0.0,,,2024-07-25 07:49:28,2024-07-25 07:49:31,2.965s,PASSED
takeScreenshot(STOP_ON_FAILURE),Chrome 126.0.0.0,,,2024-07-25 07:49:31,2024-07-25 07:49:31,0.422s,PASSED
,,,,,,,
Test Cases/Transaction/T05 - Cart Page - Continue Shopping,Chrome 126.0.0.0,Verify that user can click the button Continue Shopping,,2024-07-25 07:49:31,2024-07-25 07:49:43,12.177s,PASSED
"callTestCase(findTestCase(""Transaction/T02 - Pick Product From Homepage""), [""product_name"":""Sauce Labs Bike Light"", ""product_id"":""sauce-labs-bike-light"", ""detail_product_page"":""0""], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,2024-07-25 07:49:32,2024-07-25 07:49:42,10.223s,PASSED
"click(findTestObject(""Transaction/General/icon_shopping_cart""))",Chrome 126.0.0.0,,,2024-07-25 07:49:42,2024-07-25 07:49:42,0.386s,PASSED
